Run,X,Y,Z,Roll,Pitch,Yaw
1,2.326401748,-0.103988926,0.052172995,146.8884212,-72.24077098,146.5864865
1,2.324242603,-0.065065271,0.088655101,132.6805921,-74.18344972,160.5041256
1,2.361325078,-0.066656219,0.111390811,129.1846033,-61.13660684,169.3250047
1,2.340473014,-0.132923443,0.060516687,129.3832828,-63.7966673,168.0976139
1,2.332543727,-0.101250296,0.05255933,130.7925892,-76.18457788,160.0981545
1,2.34558818,-0.020402347,0.153149757,60.3606497,-79.14161342,-131.8496083
1,2.313837996,-0.090174704,0.108033322,127.9517002,-62.61173352,165.607095
1,2.319493187,-0.077306129,0.121666195,1.260567222,2.189172525,-89.74599976
1,2.333985821,-0.098820105,0.045615755,-17.35145004,4.583611425,-96.97671289
1,2.332534424,-0.075929282,0.053615932,-16.45148323,-1.721230832,-92.63010574
1,2.315726587,-0.102373377,0.102334606,121.843194,-66.4737444,167.1745415
1,2.305071019,-0.073051748,0.11412721,126.7873757,-66.4796557,164.5987905
1,2.279030051,0.030959426,-0.239934439,-93.84497276,74.76108178,-171.1561896
1,2.282368899,0.028696249,-0.238180733,-91.86665272,74.9057119,-171.3828047
1,2.328410932,-0.126411639,0.021261603,129.8085149,-83.47645992,154.097155
1,2.320577537,-0.11776617,0.027911164,168.659201,-82.94090839,115.8785649
1,2.328756586,-0.081257041,0.054860802,169.8319958,-83.05387885,115.0444817
1,2.318357926,-0.114519856,0.075343167,-0.552755297,-2.874229069,-89.63538843
1,2.317075034,-0.132474459,0.002145892,-18.52760484,-2.427154031,-94.57100862
1,2.318933742,-0.106882267,0.051625919,-11.16267311,-0.468397396,-93.30658244
1,2.310307458,-0.03786522,-0.155389897,-41.96640812,85.1088039,-129.3638091
1,2.307657456,-0.149048684,-0.032240687,-21.5331294,-2.33509976,-94.50683322
1,2.281375365,-0.006227639,-0.206771093,-83.48526374,77.64935802,-167.6149944
1,2.311777445,-0.092538491,0.096779042,-0.988794601,-1.396255288,-91.34970806
1,2.30808036,-0.089918325,0.102669082,-0.961147389,0.435966965,-90.94272782
1,2.30812276,-0.089709257,0.09876083,-1.339270703,-0.979571166,-92.66271593
1,2.316510662,-0.108793916,0.080209574,0.26597931,-1.582629331,-90.17462746
1,2.319758371,-0.096388545,0.046859534,-14.10654565,0.519116024,-94.78320286
1,2.297003785,-0.047918327,-0.170962861,2.88112714,-13.67406812,-95.35887481
1,2.312319352,-0.149325765,0.043634525,132.7907816,-77.95135603,147.2472513
1,2.318888705,-0.102222239,0.033143783,-15.75164701,-0.372874222,-93.75895066
1,2.309022661,-0.124853704,0.072313221,-0.556596572,-1.713075954,-91.36169347
1,2.31337659,-0.129775728,0.013521272,-12.07244849,-1.822871901,-91.22637035
1,2.308446271,-0.108860081,0.086648156,-0.82860992,-1.491686794,-92.84522794
1,2.32326275,-0.119956359,0.063698374,1.271720224,-5.853197374,-87.66400307
1,2.308364584,-0.12735713,0.022339397,-104.5447818,-86.33399694,18.53116982
1,2.308045163,-0.119604562,0.071772576,-2.250557135,-4.232560539,-92.37492123
1,2.300188285,-0.186316595,-0.000666493,-0.074509059,-4.635029075,-89.55635061
